
          epoch;     train_loss;       val_loss;             PA;         Recall;      Precision;             F1;     Train_Miou;       Val_Miou;          FWiou;
            164;       0.058889;       0.090589;        0.96746;        0.95941;        0.96088;        0.94118;        0.93971;        0.92368;         0.9372;
            165;       0.058811;       0.084517;        0.96797;        0.95958;        0.96176;        0.94178;         0.9402;        0.92468;        0.93815;
            166;       0.058353;       0.083024;        0.96788;        0.96238;        0.95883;          0.943;        0.94016;        0.92449;        0.93806;
            167;       0.060246;       0.083341;        0.96811;        0.96176;        0.96002;        0.94298;        0.93857;        0.92499;        0.93846;
            168;       0.059055;       0.082961;        0.96853;        0.95925;        0.96381;        0.94242;        0.93945;        0.92621;        0.93915;
            169;        0.05829;       0.087005;        0.96808;        0.95997;        0.96179;        0.94213;        0.94055;        0.92499;        0.93834;
            170;       0.061273;       0.082859;        0.96839;        0.95989;        0.96277;        0.94254;        0.93731;        0.92587;        0.93892;
            171;       0.060961;        0.08356;        0.96838;        0.95947;        0.96314;        0.94229;          0.938;        0.92574;        0.93887;
            172;       0.059194;       0.084566;        0.96831;        0.95955;        0.96283;        0.94223;        0.93924;        0.92556;        0.93875;
            173;       0.059157;       0.087098;        0.96754;        0.96042;        0.96025;         0.9418;        0.94009;        0.92396;        0.93736;
            174;       0.057014;       0.085108;        0.96802;        0.96173;        0.95981;        0.94284;        0.94147;        0.92476;        0.93829;
            175;       0.057384;       0.083101;        0.96864;        0.96104;        0.96218;        0.94333;        0.94134;        0.92631;        0.93938;
            176;       0.057291;        0.08675;        0.96805;        0.96155;           0.96;        0.94279;        0.94154;        0.92482;        0.93834;
            177;       0.059436;        0.08652;        0.96792;        0.95792;        0.96361;        0.94103;        0.93961;        0.92475;        0.93798;
            178;       0.058432;       0.079695;        0.96853;         0.9619;        0.96125;        0.94367;         0.9404;        0.92618;        0.93921;
            179;       0.056731;       0.083546;        0.96847;        0.96007;         0.9627;        0.94268;        0.94202;        0.92594;        0.93905;
            180;       0.057698;       0.084483;        0.96831;        0.96034;        0.96206;        0.94259;        0.94087;        0.92553;        0.93876;
            181;       0.057864;       0.087647;        0.96786;        0.95821;        0.96316;        0.94106;        0.94086;        0.92453;        0.93786;
            182;       0.057702;       0.088176;        0.96731;        0.95535;        0.96498;        0.93911;        0.94074;        0.92341;        0.93674;
            183;       0.056581;       0.083445;        0.96861;        0.95825;        0.96502;        0.94199;        0.94215;        0.92629;        0.93924;
            184;       0.056568;       0.078018;        0.96947;         0.9633;        0.96191;        0.94538;        0.94197;        0.92819;        0.94099;
            185;       0.058068;       0.081508;        0.96902;        0.96172;        0.96232;        0.94408;        0.94078;        0.92713;        0.94013;
            186;       0.056268;       0.079912;        0.96929;         0.9603;        0.96462;        0.94381;        0.94244;         0.9279;        0.94055;
            187;       0.055204;       0.077701;        0.96994;        0.96283;        0.96374;         0.9458;        0.94371;        0.92941;        0.94182;
            188;        0.05745;       0.080505;        0.96938;         0.9633;        0.96169;        0.94528;        0.94169;        0.92798;        0.94082;
            189;       0.055605;       0.081299;         0.9694;        0.96178;        0.96346;        0.94468;        0.94294;        0.92823;        0.94081;
            190;       0.056552;       0.085837;        0.96846;        0.95996;        0.96286;        0.94265;        0.94231;        0.92598;        0.93904;
            191;       0.055947;        0.08514;        0.96838;        0.96337;        0.95938;         0.9442;        0.94289;        0.92587;        0.93899;
            192;       0.054145;       0.084263;        0.96902;         0.9611;        0.96304;        0.94381;        0.94442;        0.92718;        0.94009;
            193;       0.056358;       0.078851;        0.96968;        0.96287;        0.96287;        0.94544;        0.94189;        0.92869;        0.94136;
            194;       0.055905;       0.076903;        0.97025;        0.96363;        0.96332;        0.94639;        0.94265;        0.92982;        0.94245;
            195;       0.054903;       0.082552;        0.96949;        0.96136;        0.96405;        0.94455;        0.94353;        0.92834;        0.94096;
            196;       0.054814;       0.082604;        0.96917;        0.96354;        0.96086;         0.9451;        0.94352;        0.92744;        0.94045;
            197;       0.055236;       0.082705;        0.96905;        0.96232;        0.96217;        0.94453;        0.94349;        0.92744;        0.94017;
            198;       0.054889;       0.080198;        0.96982;        0.96221;        0.96391;        0.94531;        0.94371;        0.92905;         0.9416;
            199;        0.05584;        0.08536;        0.96856;        0.96115;        0.96163;        0.94319;        0.94291;        0.92595;        0.93927;
            200;       0.054525;       0.085927;        0.96904;        0.96122;        0.96282;        0.94383;        0.94431;        0.92711;        0.94013;
          epoch;     train_loss;       val_loss;             PA;         Recall;      Precision;             F1;     Train_Miou;       Val_Miou;          FWiou;
          epoch;     train_loss;       val_loss;             PA;         Recall;      Precision;             F1;     Train_Miou;       Val_Miou;          FWiou;
              1;         0.7833;          2.271;         0.2842;        0.47719;         0.4552;        0.21092;        0.51268;        0.16931;        0.19708;
              2;        0.36996;        0.33958;        0.87878;        0.86057;        0.83745;        0.79364;         0.7175;        0.73967;        0.78947;
              3;         0.3039;        0.26957;        0.91166;         0.8992;        0.88706;        0.84974;        0.76372;        0.80628;        0.83934;
              4;        0.26728;        0.22973;        0.91844;        0.89845;        0.90131;        0.85726;        0.79155;        0.82017;        0.85069;
              5;        0.24965;        0.22717;        0.91886;        0.90161;         0.8979;        0.85855;        0.80419;         0.8199;         0.8516;
              6;        0.24823;         0.2231;        0.92528;        0.90662;        0.90907;        0.86813;        0.80284;        0.83307;        0.86217;
              7;        0.23547;        0.21523;        0.92422;        0.92334;        0.88739;        0.87176;        0.81366;        0.82732;        0.86226;
              8;        0.22331;        0.20373;        0.92845;        0.91681;        0.90711;        0.87589;        0.82438;        0.83894;        0.86787;
              9;        0.22003;        0.22171;        0.92402;        0.92033;        0.89713;        0.87336;        0.82614;        0.83192;        0.86068;
             10;        0.21417;        0.30889;        0.89545;         0.8623;        0.89986;        0.82156;         0.8298;        0.78472;        0.81007;
             11;        0.22278;        0.22031;        0.92188;        0.91439;        0.89618;        0.86803;        0.82104;        0.82691;        0.85683;
             12;        0.21397;         0.1975;        0.93112;        0.91375;        0.91705;        0.87798;        0.82875;        0.84507;        0.87194;
             13;        0.20271;        0.20741;        0.92983;        0.92677;         0.8979;        0.88028;        0.83952;        0.83936;        0.87127;
             14;        0.20369;        0.18247;          0.938;         0.9295;         0.9168;        0.89214;        0.83762;        0.85814;        0.88457;
             15;        0.19841;        0.19712;        0.93124;        0.92423;        0.90572;        0.88203;        0.84118;        0.84427;        0.87315;
             16;         0.1961;        0.21473;         0.9263;        0.91147;        0.91065;        0.87211;        0.84016;        0.83643;        0.86364;
             17;        0.19536;        0.19046;        0.93259;        0.92954;        0.90157;        0.88454;        0.84354;        0.84485;        0.87607;
             18;        0.19667;        0.20141;        0.93026;        0.90989;        0.92061;        0.87597;        0.84476;        0.84455;        0.87013;
             19;        0.18958;        0.18829;        0.93262;        0.91859;        0.91631;        0.88199;        0.84945;        0.84845;        0.87475;
             20;        0.18766;        0.20606;        0.93053;        0.92317;        0.90903;        0.88163;          0.851;        0.84445;        0.87153;
             21;        0.18601;        0.17824;        0.93657;         0.9203;        0.92511;        0.88759;          0.851;        0.85725;        0.88134;
             22;        0.18666;        0.18687;        0.93588;        0.92543;        0.91466;        0.88757;        0.85175;         0.8532;        0.88094;
             23;         0.1888;        0.19548;        0.93486;        0.92315;        0.91582;        0.88606;        0.84795;        0.85224;        0.87897;
             24;        0.18889;        0.17624;        0.93752;        0.92802;         0.9152;        0.89026;        0.84803;        0.85602;        0.88397;
             25;        0.18097;        0.19131;        0.93288;        0.92523;        0.90644;        0.88322;        0.85662;        0.84592;        0.87635;
             26;        0.18052;        0.18312;        0.93801;        0.92346;        0.92209;        0.88933;        0.85635;        0.85789;        0.88426;
             27;        0.18453;        0.18469;        0.93799;        0.92825;        0.91793;        0.89153;        0.85041;        0.85802;        0.88447;
             28;        0.18022;        0.18173;        0.93904;        0.92867;         0.9205;        0.89299;        0.85676;        0.86032;        0.88615;
             29;        0.17891;        0.18814;        0.93731;        0.91833;        0.92883;        0.88725;         0.8578;         0.8583;         0.8824;
             30;        0.18023;        0.18762;        0.93462;        0.92913;         0.9061;        0.88657;        0.85419;        0.84879;        0.87948;
             31;        0.17695;        0.18036;        0.93791;        0.92309;        0.92493;        0.88967;        0.86045;        0.85883;        0.88373;
             32;        0.17063;         0.1752;        0.93877;        0.92669;        0.92019;        0.89134;        0.86205;        0.85914;        0.88596;
             33;        0.17559;        0.17315;        0.94029;        0.92816;        0.92355;        0.89423;        0.85997;        0.86298;         0.8883;
             34;        0.17064;        0.17172;        0.94127;        0.92297;        0.93384;         0.8939;        0.86459;        0.86668;        0.88937;
             35;        0.16875;        0.19266;        0.93904;        0.91955;        0.93066;        0.88959;        0.86355;        0.86163;        0.88561;
